CIFAR-100 already downloaded.
CIFAR-100 Dataset Loaded!
Train X: (45000, 3, 32, 32), Fine Y: (45000,), Coarse Y: (45000,)
Val   X: (5000, 3, 32, 32), Fine Y: (5000,), Coarse Y: (5000,)
Test  X: (10000, 3, 32, 32), Fine Y: (10000,), Coarse Y: (10000,)
===========================================================================
Layer (type)                       Output Shape                Param #
===========================================================================
 1. Conv1                           (1, 16, 32, 32)                 448
 2. Block[1-1]_Conv1                (1, 16, 32, 32)               2,320
 3. Block[1-1]_Conv2                (1, 16, 32, 32)               2,320
 4. Block[1-2]_Conv1                (1, 16, 32, 32)               2,320
 5. Block[1-2]_Conv2                (1, 16, 32, 32)               2,320
 6. Block[1-3]_Conv1                (1, 16, 32, 32)               2,320
 7. Block[1-3]_Conv2                (1, 16, 32, 32)               2,320
 8. Block[2-1]_Conv1                (1, 32, 16, 16)               4,640
 9. Block[2-1]_Conv2                (1, 32, 16, 16)               9,248
    └─ Shortcut[2-1]                (1, 32, 16, 16)                 544
10. Block[2-2]_Conv1                (1, 32, 16, 16)               9,248
11. Block[2-2]_Conv2                (1, 32, 16, 16)               9,248
12. Block[2-3]_Conv1                (1, 32, 16, 16)               9,248
13. Block[2-3]_Conv2                (1, 32, 16, 16)               9,248
14. Block[3-1]_Conv1                (1, 64, 8, 8)                18,496
15. Block[3-1]_Conv2                (1, 64, 8, 8)                36,928
    └─ Shortcut[3-1]                (1, 64, 8, 8)                 2,112
16. Block[3-2]_Conv1                (1, 64, 8, 8)                36,928
17. Block[3-2]_Conv2                (1, 64, 8, 8)                36,928
18. Block[3-3]_Conv1                (1, 64, 8, 8)                36,928
19. Block[3-3]_Conv2                (1, 64, 8, 8)                36,928
    GlobalAvgPool                   (1, 64)                           0
  Iter 1090/1406: Loss 2.8461
  Iter 1100/1406: Loss 3.1023
  Iter 1110/1406: Loss 2.9138
  Iter 1120/1406: Loss 3.0760
  Iter 1130/1406: Loss 3.0870
  Iter 1140/1406: Loss 2.7438
  Iter 1150/1406: Loss 3.3257
  Iter 1160/1406: Loss 2.3310
  Iter 1170/1406: Loss 3.6502
  Iter 1180/1406: Loss 3.0146
  Iter 1190/1406: Loss 3.5976
  Iter 1200/1406: Loss 2.8450
  Iter 1210/1406: Loss 2.5575
  Iter 1220/1406: Loss 2.9748
  Iter 1230/1406: Loss 2.7740
  Iter 1240/1406: Loss 2.9722
  Iter 1250/1406: Loss 3.0747
  Iter 1260/1406: Loss 2.6803
  Iter 1270/1406: Loss 2.5328
  Iter 1280/1406: Loss 2.5249
  Iter 1290/1406: Loss 3.0442
  Iter 1300/1406: Loss 2.8803
  Iter 1310/1406: Loss 2.4844
  Iter 1320/1406: Loss 3.3390
  Iter 1330/1406: Loss 2.9434
  Iter 1340/1406: Loss 2.7500
  Iter 1350/1406: Loss 2.7479
  Iter 1360/1406: Loss 2.8709
  Iter 1370/1406: Loss 3.4032
  Iter 1380/1406: Loss 2.5540
  Iter 1390/1406: Loss 2.6714
  Iter 1400/1406: Loss 2.8164
Train acc: 0.2970, Test acc: 0.2722 (Time: 2075.51s)

[Epoch 4]
  Iter   0/1406: Loss 2.6455
  Iter  10/1406: Loss 2.6289
  Iter  20/1406: Loss 2.7470
  Iter  30/1406: Loss 2.3395
  Iter  40/1406: Loss 3.1578
  Iter  50/1406: Loss 2.6427
  Iter  60/1406: Loss 2.7586
  Iter  70/1406: Loss 2.8428
  Iter  80/1406: Loss 3.3268
  Iter  90/1406: Loss 2.7359
  Iter 100/1406: Loss 2.8347
  Iter 110/1406: Loss 2.8184
  Iter 120/1406: Loss 2.2856
  Iter 130/1406: Loss 2.8212
  Iter 140/1406: Loss 2.4296
  Iter 150/1406: Loss 2.2024
  Iter 160/1406: Loss 2.4881
  Iter 170/1406: Loss 2.8773
  Iter 180/1406: Loss 2.9042
  Iter 190/1406: Loss 3.0697
  Iter 200/1406: Loss 2.6901
  Iter 210/1406: Loss 2.9522
  Iter 220/1406: Loss 2.3120
  Iter 230/1406: Loss 1.8923
  Iter 240/1406: Loss 2.7650
  Iter 250/1406: Loss 3.0006
  Iter 260/1406: Loss 3.2763
  Iter 270/1406: Loss 3.0265
  Iter 280/1406: Loss 2.5925
  Iter 290/1406: Loss 2.6197
  Iter 300/1406: Loss 2.6674
  Iter 310/1406: Loss 2.0642
  Iter 320/1406: Loss 3.1887
  Iter 330/1406: Loss 3.0771
  Iter 340/1406: Loss 2.6419
  Iter 350/1406: Loss 2.6380
  Iter 360/1406: Loss 2.2812
  Iter 370/1406: Loss 2.7049
  Iter 380/1406: Loss 3.2158
  Iter 390/1406: Loss 2.7618
  Iter 400/1406: Loss 1.9155
  Iter 410/1406: Loss 2.7821
  Iter 420/1406: Loss 2.5176
  Iter 430/1406: Loss 2.5697
  Iter 440/1406: Loss 2.8331
  Iter 450/1406: Loss 2.6075
  Iter 460/1406: Loss 2.4166
  Iter 470/1406: Loss 2.6232
  Iter 480/1406: Loss 2.3616
  Iter 490/1406: Loss 2.9041
  Iter 500/1406: Loss 2.6934
  Iter 510/1406: Loss 3.0620
  Iter 520/1406: Loss 2.7202
  Iter 530/1406: Loss 2.2799
  Iter 540/1406: Loss 2.5581
  Iter 550/1406: Loss 2.7820
  Iter 560/1406: Loss 2.7804
  Iter 570/1406: Loss 2.7381
  Iter 580/1406: Loss 2.5647
  Iter 590/1406: Loss 2.9016
  Iter 600/1406: Loss 2.8746
  Iter 610/1406: Loss 2.4998
  Iter 620/1406: Loss 2.4843
  Iter 630/1406: Loss 3.0323
  Iter 640/1406: Loss 2.6654
  Iter 650/1406: Loss 2.6522
  Iter 660/1406: Loss 3.4477
  Iter 670/1406: Loss 2.5448
  Iter 680/1406: Loss 2.6208
  Iter 690/1406: Loss 2.5662
  Iter 700/1406: Loss 3.2810
  Iter 710/1406: Loss 2.6372
  Iter 720/1406: Loss 2.0997
  Iter 730/1406: Loss 3.0796
  Iter 740/1406: Loss 2.7344
  Iter 750/1406: Loss 3.0209
  Iter 760/1406: Loss 2.7684
  Iter 770/1406: Loss 2.5599
  Iter 780/1406: Loss 2.6400
  Iter 790/1406: Loss 3.3642
  Iter 800/1406: Loss 3.2160
  Iter 810/1406: Loss 2.7103
  Iter 820/1406: Loss 2.8594
  Iter 830/1406: Loss 3.1547
  Iter 840/1406: Loss 2.4385
  Iter 850/1406: Loss 2.7547
  Iter 860/1406: Loss 2.8269
  Iter 870/1406: Loss 2.6610
  Iter 880/1406: Loss 2.5728
  Iter 890/1406: Loss 2.4099
  Iter 900/1406: Loss 2.7724
  Iter 910/1406: Loss 2.7173
  Iter 920/1406: Loss 2.5777
  Iter 930/1406: Loss 2.5364
  Iter 940/1406: Loss 2.0721
  Iter 950/1406: Loss 2.7691
  Iter 960/1406: Loss 2.4828
  Iter 970/1406: Loss 3.0363
  Iter 980/1406: Loss 3.0827
  Iter 990/1406: Loss 2.8967
  Iter 1000/1406: Loss 2.6574
  Iter 1010/1406: Loss 2.5270
  Iter 1020/1406: Loss 2.2258
  Iter 1030/1406: Loss 2.8136
  Iter 1040/1406: Loss 2.3068
  Iter 1050/1406: Loss 3.1462
  Iter 1060/1406: Loss 2.7231
  Iter 1070/1406: Loss 2.1044
  Iter 1080/1406: Loss 2.9369
  Iter 1090/1406: Loss 3.0683
  Iter 1100/1406: Loss 2.6910
  Iter 1110/1406: Loss 2.4168
  Iter 1120/1406: Loss 2.7979
  Iter 1130/1406: Loss 2.6979
  Iter 1140/1406: Loss 2.4835
  Iter 1150/1406: Loss 3.0535
  Iter 1160/1406: Loss 2.5168
  Iter 1170/1406: Loss 2.7464
  Iter 1180/1406: Loss 2.7482
  Iter 1190/1406: Loss 3.1280
  Iter 1200/1406: Loss 2.5186
  Iter 1210/1406: Loss 2.7085
  Iter 1220/1406: Loss 2.6022
  Iter 1230/1406: Loss 3.6940
  Iter 1240/1406: Loss 2.2414
  Iter 1250/1406: Loss 2.8273
  Iter 1260/1406: Loss 2.3611
  Iter 1270/1406: Loss 2.1616
  Iter 1280/1406: Loss 2.4534
  Iter 1290/1406: Loss 2.2576
  Iter 1300/1406: Loss 2.5520
  Iter 1310/1406: Loss 2.8158
  Iter 1320/1406: Loss 2.2513
  Iter 1330/1406: Loss 2.2336
  Iter 1340/1406: Loss 2.8262
  Iter 1350/1406: Loss 2.3005
  Iter 1360/1406: Loss 2.2059
  Iter 1370/1406: Loss 3.3138
  Iter 1380/1406: Loss 2.9034
  Iter 1390/1406: Loss 3.1181
  Iter 1400/1406: Loss 2.6104
Train acc: 0.3390, Test acc: 0.3044 (Time: 2401.69s)

[Epoch 5]
  Iter   0/1406: Loss 2.5943
  Iter  10/1406: Loss 2.5540
  Iter  20/1406: Loss 2.5938
  Iter  30/1406: Loss 2.7049
  Iter  40/1406: Loss 2.2083
  Iter  50/1406: Loss 1.9930
  Iter  60/1406: Loss 2.6253
  Iter  70/1406: Loss 2.8127
  Iter  80/1406: Loss 2.4853
  Iter  90/1406: Loss 2.0896
  Iter 100/1406: Loss 2.8764
  Iter 110/1406: Loss 2.6232
  Iter 120/1406: Loss 2.5707
  Iter 130/1406: Loss 2.8781
  Iter 140/1406: Loss 2.1631
  Iter 150/1406: Loss 3.7346
  Iter 160/1406: Loss 2.5206
  Iter 170/1406: Loss 2.6243
  Iter 180/1406: Loss 2.4529
  Iter 190/1406: Loss 2.5819
  Iter 200/1406: Loss 1.8922
  Iter 210/1406: Loss 2.6843
  Iter 220/1406: Loss 2.5886
  Iter 230/1406: Loss 2.2367
  Iter 240/1406: Loss 2.2910
  Iter 250/1406: Loss 2.3758
  Iter 260/1406: Loss 2.1768
  Iter 270/1406: Loss 2.4649
  Iter 280/1406: Loss 2.2003
  Iter 290/1406: Loss 2.6012
  Iter 300/1406: Loss 2.6425
  Iter 310/1406: Loss 2.4623
  Iter 320/1406: Loss 2.3786
  Iter 330/1406: Loss 2.1348
  Iter 340/1406: Loss 2.4857
  Iter 350/1406: Loss 2.6817
  Iter 360/1406: Loss 2.3508
  Iter 370/1406: Loss 2.7257
  Iter 380/1406: Loss 2.8009
  Iter 390/1406: Loss 2.6163
  Iter 400/1406: Loss 2.5407
  Iter 410/1406: Loss 2.3898
  Iter 420/1406: Loss 2.4594
  Iter 430/1406: Loss 2.3459
  Iter 440/1406: Loss 2.2610
  Iter 450/1406: Loss 3.0139
  Iter 460/1406: Loss 2.3096
  Iter 470/1406: Loss 2.4954
  Iter 480/1406: Loss 1.9466
  Iter 490/1406: Loss 2.5883
  Iter 500/1406: Loss 2.7531
  Iter 510/1406: Loss 2.6563
  Iter 520/1406: Loss 2.5900
  Iter 530/1406: Loss 2.1392
  Iter 540/1406: Loss 2.8416
